iter	Passed	Remaining
0	143	21371
1	145	10768
2	147	7236
3	149	5468
4	151	4407
5	154	3699
6	156	3196
7	158	2815
8	160	2519
9	163	2282
10	165	2086
11	167	1924
12	169	1786
13	171	1668
14	173	1565
15	176	1474
16	178	1394
17	180	1323
18	182	1259
19	184	1202
20	187	1151
21	189	1104
22	191	1059
23	194	1019
24	196	981
25	198	946
26	200	913
27	202	883
28	204	855
29	207	828
30	209	803
31	211	779
32	213	757
33	216	737
34	218	716
35	220	697
36	222	679
37	224	662
38	227	646
39	229	630
40	231	615
41	233	600
42	235	586
43	238	573
44	240	560
45	242	548
46	244	536
47	247	525
48	249	514
49	251	503
50	254	493
51	256	483
52	258	473
53	260	463
54	263	454
55	265	445
56	267	436
57	269	427
58	271	419
59	274	411
60	276	403
61	278	395
62	280	387
63	282	380
64	285	372
65	287	365
66	289	358
67	291	352
68	294	345
69	296	339
70	299	332
71	301	326
72	303	320
73	305	314
74	308	308
75	310	302
76	312	296
77	314	290
78	317	284
79	319	279
80	321	273
81	323	268
82	326	263
83	328	258
84	330	252
85	332	247
86	335	242
87	337	237
88	340	233
89	342	228
90	345	224
91	347	219
92	350	214
93	352	209
94	354	205
95	356	200
96	359	196
97	361	192
98	364	187
99	367	183
100	369	179
101	371	175
102	374	170
103	376	166
104	378	162
105	381	158
106	383	153
107	385	149
108	387	145
109	389	141
110	392	137
111	394	133
112	396	129
113	398	125
114	401	122
115	403	118
116	405	114
117	407	110
118	410	106
119	412	103
120	415	99
121	417	95
122	419	92
123	421	88
124	423	84
125	426	81
126	428	77
127	430	74
128	433	70
129	435	66
130	437	63
131	439	59
132	442	56
133	444	53
134	446	49
135	448	46
136	451	42
137	453	39
138	455	36
139	457	32
140	459	29
141	462	26
142	464	22
143	467	19
144	469	16
145	472	12
146	474	9
147	476	6
148	479	3
149	481	0
